交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/10,CBO,201906  ,24.5000,買權,-,-,-,-,0,0.18,25,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,24.5000,買權,-,-,-,-,0,0.18,25,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,24.5000,買權,-,-,-,-,0,0.14,25,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,24.5000,買權,-,-,-,-,0,0.12,20,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,24.5000,買權,-,-,-,-,0,0.09,20,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,24.5000,賣權,-,-,-,-,0,0.19,29,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,24.5000,賣權,-,-,-,-,0,0.13,29,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,24.5000,賣權,-,-,-,-,0,0.21,29,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,24.5000,賣權,-,-,-,-,0,0.22,29,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,24.5000,賣權,0.43,0.43,0.43,0.43,5,0.31,29,0.29,0.4,0.58,0.28,,一般,
2019/06/05,CBO,201906  ,24.5000,賣權,0.37,0.37,0.37,0.37,5,0.37,29,0.33,0.44,0.58,0.28,,一般,
2019/06/18,CBO,201906  ,24.5000,賣權,-,-,-,-,0,0.04,24,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,24.5000,賣權,0.09,0.09,0.09,0.09,5,0.09,24,0.04,0.12,0.58,0.09,,一般,
2019/06/17,CBO,201906  ,24.5000,賣權,0.1,0.1,0.1,0.1,5,0.09,24,-,-,0.58,0.09,,一般,
2019/06/19,CBO,201906  ,24.5000,賣權,-,-,-,-,0,0,24,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,24.5000,賣權,-,-,-,-,0,0.42,24,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,24.5000,賣權,0.5,0.5,0.46,0.46,6,0.46,24,-,-,0.58,0.28,,一般,
2019/06/19,CBO,201906  ,25.0000,買權,-,-,-,-,0,0,20,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,25.0000,買權,-,-,-,-,0,0.01,20,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,25.0000,買權,-,-,-,-,0,0.01,20,-,-,-,-,,一般,
